,Part,Quantity,Links,Price,Shipping & Taxes,Total Price
1,XIAO RP2040 THT,1,https://www.aliexpress.us/item/3256808815211592.html,$10.30,$6.37,$16.67
2,MAX7219 8x8 LED Matrix,1,https://www.aliexpress.us/item/3256807297448326.html,$2.11,$0.18,$2.29
3,Button switch 6mm,9,https://www.aliexpress.us/item/3256807058675649.html,$1.91,$0.16,$2.07
4,Diode 1N914,9,https://www.aliexpress.us/item/2251832393790143.html,$1.11,$0.10,$1.21
5,SPST slide switch,1,https://www.aliexpress.us/item/3256806736595154.html,$4.36,$0.19,$4.55
6,MAX756,1,https://www.aliexpress.us/item/3256812216632031.html,$0.70,$5.39,$6.09
7,Schottky diode 1N5817,1,https://www.aliexpress.us/item/2251832838864425.html,$1.80,$0.16,$1.96
8,Inductor 22 uH,1,https://www.aliexpress.us/item/3256806653531313.html,$0.55,$5.41,$5.96
9,Capacitor 100 nF,1,https://www.aliexpress.us/item/3256807593821894.html,$2.45,$0.14,$2.59
10,Capacitor 100 uF,1,https://www.aliexpress.us/item/3256806017188277.html,$2.67,$0.16,$2.83
11,Capacitor 150 uF,1,https://www.aliexpress.us/item/2251832641693063.html,$3.64,$0.31,$3.95
12,2 AA battery holder,1,https://www.aliexpress.us/item/2255800821946138.html,$1.04,$0.10,$1.14
13,1 AA battery holder,1,https://www.aliexpress.us/item/2255800821946138.html,$1.00,$0.10,$1.10
Totals,,,,$33.64,$18.77,$52.41
